field_id,field_name,canonical_csv_name,endpoint,json_path,parent_object,yahoo_type,csv_type,db_type,applies_to,field_category,description,units,enum_group,update_frequency,nullable,presence,stability,evidence_status,evidence_symbols,evidence_market_states,example_value,formula_relationship,related_fields,validation_rule,parser_action,flattening_rule,collision_group,source_url,developer_notes,first_seen_release,last_reviewed_date,status
YF00031,preMarketPrice,pre_market_price,quote,quoteResponse.result[].preMarketPrice,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF,Pre/Post Market,Pre-market price,Price/currency units,,Pre-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,189.90,,preMarketChange;preMarketTime,Numeric if present,Map,Flatten object field,extended_price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Often absent outside extended-hours equities/ETFs.,v0.3.0,2026-07-09,draft
YF00032,preMarketChange,pre_market_change,quote,quoteResponse.result[].preMarketChange,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF,Pre/Post Market,Pre-market price change,Price/currency units,,Pre-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,-0.40,preMarketPrice - regularMarketPreviousClose,preMarketPrice;regularMarketPreviousClose,Soft formula validation,Map,Flatten object field,extended_change,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Yahoo-derived.,v0.3.0,2026-07-09,draft
YF00033,preMarketChangePercent,pre_market_change_percent,quote,quoteResponse.result[].preMarketChangePercent,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF,Pre/Post Market,Pre-market percent change,Percent units,,Pre-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,-0.21,preMarketChange / regularMarketPreviousClose * 100,preMarketChange;regularMarketPreviousClose,Soft formula validation,Map,Flatten object field,percent,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Percent unit, not decimal fraction.",v0.3.0,2026-07-09,draft
YF00034,preMarketTime,pre_market_time_epoch_s,quote,quoteResponse.result[].preMarketTime,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity;ETF,Pre/Post Market,Pre-market quote timestamp,Unix seconds,,Pre-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1689250000,,preMarketPrice,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May be missing outside pre-market.,v0.3.0,2026-07-09,draft
YF00035,postMarketPrice,post_market_price,quote,quoteResponse.result[].postMarketPrice,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF,Pre/Post Market,Post-market price,Price/currency units,,Post-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,191.00,,postMarketChange;postMarketTime,Numeric if present,Map,Flatten object field,extended_price,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Often absent outside extended-hours equities/ETFs.,v0.3.0,2026-07-09,draft
YF00036,postMarketChange,post_market_change,quote,quoteResponse.result[].postMarketChange,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Equity;ETF,Pre/Post Market,Post-market price change,Price/currency units,,Post-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.46,postMarketPrice - regularMarketPrice or previous close depending Yahoo context,postMarketPrice;regularMarketPrice,Soft validation only,Map,Flatten object field,extended_change,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Yahoo timing can differ by field.,v0.3.0,2026-07-09,draft
YF00037,postMarketChangePercent,post_market_change_percent,quote,quoteResponse.result[].postMarketChangePercent,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF,Pre/Post Market,Post-market percent change,Percent units,,Post-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.24,,postMarketChange;postMarketPrice,Soft validation only,Map,Flatten object field,percent,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Percent unit, not decimal fraction.",v0.3.0,2026-07-09,draft
YF00038,postMarketTime,post_market_time_epoch_s,quote,quoteResponse.result[].postMarketTime,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity;ETF,Pre/Post Market,Post-market quote timestamp,Unix seconds,,Post-market,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1689290000,,postMarketPrice,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May be missing outside post-market.,v0.3.0,2026-07-09,draft
YF00039,priceHint,price_hint,quote,quoteResponse.result[].priceHint,quoteResponse.result[],integer,INTEGER,INTEGER,Most,Formatting,Yahoo price decimal display hint,Digits,,Static/infrequent,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,2,,regularMarketPrice,Integer if present,Map,Flatten object field,format,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Display/formatting hint; not a price value.,v0.3.0,2026-07-09,draft
YF00040,marketCap,market_cap,quote,quoteResponse.result[].marketCap,quoteResponse.result[],integer,INTEGER,BIGINT,Equity;ETF;CEF;Crypto,Fundamental/Size,Market capitalization or asset market value where Yahoo provides it,Currency units,,Intraday/daily,Yes,Common,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,2990000000000,,sharesOutstanding;regularMarketPrice,Must be >= 0 if present,Map,Flatten object field,fundamental,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May not exactly equal price * shares.,v0.3.0,2026-07-09,draft
YF00041,sharesOutstanding,shares_outstanding,quote,quoteResponse.result[].sharesOutstanding,quoteResponse.result[],integer,INTEGER,BIGINT,Equity;ETF,Fundamental/Share Count,Shares outstanding,Shares,,Infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,15700000000,,marketCap;regularMarketPrice,Must be >= 0 if present,Map,Flatten object field,fundamental,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Often from fundamentals data.,v0.3.0,2026-07-09,draft
YF00042,trailingPE,trailing_pe,quote,quoteResponse.result[].trailingPE,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity,Valuation,Trailing price/earnings ratio,Ratio,,Daily/infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,31.2,,epsTrailingTwelveMonths,Must be >= 0 if present,Map,Flatten object field,valuation,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Can be absent for no/negative earnings.,v0.3.0,2026-07-09,draft
YF00043,forwardPE,forward_pe,quote,quoteResponse.result[].forwardPE,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity,Valuation,Forward price/earnings ratio,Ratio,,Daily/infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,28.1,,epsForward,Must be >= 0 if present,Map,Flatten object field,valuation,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Estimate-based; may change with consensus data.,v0.3.0,2026-07-09,draft
YF00044,epsTrailingTwelveMonths,eps_trailing_twelve_months,quote,quoteResponse.result[].epsTrailingTwelveMonths,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity,Earnings,Trailing twelve-month EPS,Currency/share,,Quarterly/infrequent,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,6.10,,trailingPE,Numeric if present,Map,Flatten object field,fundamental,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Can be negative.,v0.3.0,2026-07-09,draft
YF00045,epsForward,eps_forward,quote,quoteResponse.result[].epsForward,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity,Earnings,Forward EPS estimate,Currency/share,,Infrequent,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,6.75,,forwardPE,Numeric if present,Map,Flatten object field,fundamental,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Estimate-based.,v0.3.0,2026-07-09,draft
YF00046,fiftyTwoWeekLow,fifty_two_week_low,quote,quoteResponse.result[].fiftyTwoWeekLow,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Range,52-week low,Price/currency units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,165.00,,fiftyTwoWeekHigh,low <= high when both present,Map,Flatten object field,range,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","For indices, value is index level.",v0.3.0,2026-07-09,draft
YF00047,fiftyTwoWeekHigh,fifty_two_week_high,quote,quoteResponse.result[].fiftyTwoWeekHigh,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Range,52-week high,Price/currency units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,210.00,,fiftyTwoWeekLow,high >= low when both present,Map,Flatten object field,range,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","For indices, value is index level.",v0.3.0,2026-07-09,draft
YF00048,fiftyDayAverage,fifty_day_average,quote,quoteResponse.result[].fiftyDayAverage,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Moving Average,50-day average price/level,Price/currency units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,188.35,,twoHundredDayAverage,Numeric if present,Map,Flatten object field,derived,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Yahoo-calculated moving average.,v0.3.0,2026-07-09,draft
YF00049,twoHundredDayAverage,two_hundred_day_average,quote,quoteResponse.result[].twoHundredDayAverage,quoteResponse.result[],number,DECIMAL,"DECIMAL(28,10)",Most,Moving Average,200-day average price/level,Price/currency units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,180.12,,fiftyDayAverage,Numeric if present,Map,Flatten object field,derived,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Yahoo-calculated moving average.,v0.3.0,2026-07-09,draft
YF00050,averageDailyVolume3Month,average_daily_volume_3_month,quote,quoteResponse.result[].averageDailyVolume3Month,quoteResponse.result[],integer,INTEGER,BIGINT,Equity;ETF;CEF;Crypto,Volume,Average daily volume over 3 months,Shares/contracts/units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,52000000,,regularMarketVolume,Must be >= 0 if present,Map,Flatten object field,volume,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Period definition is Yahoo-controlled.,v0.3.0,2026-07-09,draft
YF00051,averageDailyVolume10Day,average_daily_volume_10_day,quote,quoteResponse.result[].averageDailyVolume10Day,quoteResponse.result[],integer,INTEGER,BIGINT,Equity;ETF;CEF;Crypto,Volume,Average daily volume over 10 days,Shares/contracts/units,,Daily,Yes,Common,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,48000000,,regularMarketVolume,Must be >= 0 if present,Map,Flatten object field,volume,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Period definition is Yahoo-controlled.,v0.3.0,2026-07-09,draft
YF00052,dividendRate,dividend_rate,quote,quoteResponse.result[].dividendRate,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF;CEF,Dividend/Distribution,Forward annual dividend/distribution rate,Currency/share or unit,,Daily/infrequent,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.96,,dividendYield;exDividendDate,Must be >= 0 if present,Map,Flatten object field,distribution,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","For funds/CEFs interpret as distribution metric, not guaranteed payout.",v0.3.0,2026-07-09,draft
YF00053,dividendYield,dividend_yield,quote,quoteResponse.result[].dividendYield,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF;CEF,Dividend/Distribution,Forward dividend/distribution yield,Decimal fraction or percent depending path,,Daily/infrequent,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.005,,dividendRate;regularMarketPrice,Document unit at field path level,Map,Flatten object field,distribution,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Quote fields may differ from quoteSummary raw/fmt treatment.,v0.3.0,2026-07-09,draft
YF00054,trailingAnnualDividendRate,trailing_annual_dividend_rate,quote,quoteResponse.result[].trailingAnnualDividendRate,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF;CEF,Dividend/Distribution,Trailing annual dividend/distribution rate,Currency/share or unit,,Daily/infrequent,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.92,,trailingAnnualDividendYield,Must be >= 0 if present,Map,Flatten object field,distribution,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Useful for funds; timing varies.,v0.3.0,2026-07-09,draft
YF00055,trailingAnnualDividendYield,trailing_annual_dividend_yield,quote,quoteResponse.result[].trailingAnnualDividendYield,quoteResponse.result[],number,DECIMAL,"DECIMAL(18,8)",Equity;ETF;CEF,Dividend/Distribution,Trailing annual dividend/distribution yield,Decimal fraction,,Daily/infrequent,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,0.0048,,trailingAnnualDividendRate,Must be >= 0 if present,Map,Flatten object field,distribution,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Decimal fraction; convert to percent only in presentation.,v0.3.0,2026-07-09,draft
YF00056,exDividendDate,ex_dividend_date_epoch_s,quote,quoteResponse.result[].exDividendDate,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity;ETF;CEF,Dividend/Distribution,Ex-dividend date timestamp,Unix seconds,,Event-driven,Yes,Conditional,Common,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1689206400,,dividendRate,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",May be absent for non-dividend symbols.,v0.3.0,2026-07-09,draft
YF00057,earningsTimestamp,earnings_timestamp_epoch_s,quote,quoteResponse.result[].earningsTimestamp,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity,Earnings,Next or recent earnings timestamp,Unix seconds,,Event-driven,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1690000000,,earningsTimestampStart;earningsTimestampEnd,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F",Use start/end range when available.,v0.3.0,2026-07-09,draft
YF00058,earningsTimestampStart,earnings_timestamp_start_epoch_s,quote,quoteResponse.result[].earningsTimestampStart,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity,Earnings,Earnings window start timestamp,Unix seconds,,Event-driven,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1689900000,,earningsTimestamp;earningsTimestampEnd,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Event window, not exact time.",v0.3.0,2026-07-09,draft
YF00059,earningsTimestampEnd,earnings_timestamp_end_epoch_s,quote,quoteResponse.result[].earningsTimestampEnd,quoteResponse.result[],unix seconds,DATETIME,BIGINT + TIMESTAMP,Equity,Earnings,Earnings window end timestamp,Unix seconds,,Event-driven,Yes,Conditional,Variable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,1690100000,,earningsTimestamp;earningsTimestampStart,Convert from Unix seconds,Map,Flatten object field,time,"https://query1.finance.yahoo.com/v7/finance/quote?symbols=AAPL,MSFT,SPY,QQQI,PDI,NAC,VTSAX,XNACX,^GSPC,^TNX,BTC-USD,ETH-USD,EURUSD=X,GBPUSD=X,CL=F,ZT=F","Event window, not exact time.",v0.3.0,2026-07-09,draft
YF00060,chart_symbol,symbol,chart,chart.result[].meta.symbol,chart.result[].meta,string,TEXT,VARCHAR(32),All,Identification,Chart metadata symbol,,,Static except ticker changes,No,Common,Stable,Seeded from prior reference,AAPL;MSFT;SPY;QQQI;PDI;NAC;VTSAX;XNACX;^GSPC;^TNX;BTC-USD;ETH-USD;EURUSD=X;GBPUSD=X;CL=F;ZT=F,PREPRE;PRE;REGULAR;POST;POSTPOST;CLOSED,AAPL,,quote.symbol,Must not be blank,Map,Repeat chart meta on every row,key,"https://query1.finance.yahoo.com/v8/finance/chart/AAPL?range=1mo&interval=1d&events=div,splits",Use returned symbol.,v0.3.0,2026-07-09,draft
